Date,Close
2024-01-01,96.59
2024-01-02,96.71
2024-01-03,94.41
2024-01-04,90.42
2024-01-05,89.8
2024-01-08,89.75
2024-01-09,90.38
2024-01-10,89.16
2024-01-11,89.7
2024-01-12,92.28
2024-01-15,93.05
2024-01-16,96.63
2024-01-17,93.82
2024-01-18,92.91
2024-01-19,92.34
2024-01-22,94.97
2024-01-23,96.3
2024-01-24,95.29
2024-01-25,99.57
2024-01-26,98.03
2024-01-29,97.25
2024-01-30,100.54
2024-01-31,100.9
2024-02-01,97.9
2024-02-02,93.37
2024-02-05,93.36
2024-02-06,93.4
2024-02-07,93.51
2024-02-08,97.29
2024-02-09,97.65
2024-02-12,99.57
2024-02-13,98.91
2024-02-14,99.79
2024-02-15,102.11
2024-02-16,103.63
2024-02-19,101.12
2024-02-20,98.34
2024-02-21,98.48
2024-02-22,95.83
2024-02-23,98.62
2024-02-26,94.3
2024-02-27,91.39
2024-02-28,88.08
2024-02-29,89.65
2024-03-01,89.42
2024-03-04,90.05
2024-03-05,88.96
2024-03-06,86.39
2024-03-07,85.82
2024-03-08,84.13
2024-03-11,81.96
2024-03-12,81.0
2024-03-13,83.61
2024-03-14,83.42
2024-03-15,84.57
2024-03-18,85.86
2024-03-19,84.2
2024-03-20,85.66
2024-03-21,85.19
2024-03-22,83.06
2024-03-25,84.54
2024-03-26,84.39
2024-03-27,83.26
2024-03-28,84.81
2024-03-29,86.19
2024-04-01,86.16
2024-04-02,84.06
2024-04-03,83.53
2024-04-04,82.09
2024-04-05,81.7
2024-04-08,80.68
2024-04-09,79.47
2024-04-10,79.08
2024-04-11,79.1
2024-04-12,79.57
2024-04-15,80.07
2024-04-16,76.71
2024-04-17,77.19
2024-04-18,76.51
2024-04-19,76.21
2024-04-22,74.95
2024-04-23,75.52
2024-04-24,76.86
2024-04-25,78.75
2024-04-26,79.64
2024-04-29,79.79
2024-04-30,84.06
2024-05-01,80.65
2024-05-02,76.97
2024-05-03,76.23
2024-05-06,74.12
2024-05-07,73.14
2024-05-08,72.31
2024-05-09,72.38
2024-05-10,70.53
2024-05-13,68.25
2024-05-14,68.67
2024-05-15,68.76
2024-05-16,69.13
2024-05-17,67.68
2024-05-20,65.67
2024-05-21,65.47
2024-05-22,65.95
2024-05-23,66.46
2024-05-24,67.12
2024-05-27,68.31
2024-05-28,67.64
2024-05-29,67.65
2024-05-30,67.57
2024-05-31,67.88
2024-06-03,68.55
2024-06-04,71.08
2024-06-05,72.36
2024-06-06,73.68
2024-06-07,74.12
2024-06-10,72.39
2024-06-11,70.18
2024-06-12,70.9
2024-06-13,73.34
2024-06-14,72.3
2024-06-17,73.52
2024-06-18,74.57
2024-06-19,74.7
2024-06-20,74.03
2024-06-21,74.56
2024-06-24,75.95
2024-06-25,72.62
2024-06-26,72.63
2024-06-27,71.66
2024-06-28,71.77
2024-07-01,72.52
2024-07-02,73.13
2024-07-03,72.82
2024-07-04,72.35
2024-07-05,71.39
2024-07-08,70.5
2024-07-09,70.9
2024-07-10,70.07
2024-07-11,69.4
2024-07-12,70.12
2024-07-15,70.51
2024-07-16,70.12
2024-07-17,69.58
2024-07-18,72.08
2024-07-19,72.83
2024-07-22,74.02
2024-07-23,74.45
2024-07-24,76.21
2024-07-25,75.02
2024-07-26,74.58
2024-07-29,74.34
2024-07-30,75.36
